id,title,body_text,url,post_date,author_username,author_id,kudos,views,reply_count,status_key,status_name,conversation_id
12714729,Allow adding a user(s) to MULTIPLE PROJECTS,"There is a major need to be able to add a new hire to many projects in ACC. Instead of wasting my time opening each project and manually adding a new user to 20 projects, we need a tool that will automate this process! Seems like it would be a pretty basic feature. This feature was brought up in the BIM360 forum SIX (6) years ago and was marked as Under Review 2 weeks after submission, ZERO response/feedback from Autodesk since... BIM 360 Docs - Add New User to Multiple Projects - Autodesk Commu",https://forums.autodesk.com/t5/acc-ideas/allow-adding-a-user-s-to-multiple-projects/idi-p/12714729,2024-04-17T06:49:50.140-07:00,adbryson,587538,344,7333,58,delivered,Future Consideration,12714729
13957015,Increase Submittals Assignee Limit Beyond 10 Users,"Currently, Autodesk Construction Cloud (ACC) limits the number of assignees per Submittal to a maximum of 10 users. For large-scale construction projects, this limitation creates significant workflow challenges. We strongly request increasing this limit to at least 30 individual assignees. Background & Problem Statement ACC Submittals are designed to track review status per individual assignee, which is a very valuable capability for accountability and auditability. However, the current limitati",https://forums.autodesk.com/t5/acc-ideas/increase-submittals-assignee-limit-beyond-10-users/idi-p/13957015,2025-12-25T17:49:19.955-08:00,maresuke.fukumoriJ8LG3,11644717,317,1740,7,accepted,Gathering Support,13957015
13004651,Measure coordinate XYZ in 3D view,"Introducing a tool to identify coordinates in 3D models would be highly beneficial. For instance, enabling the cursor to pinpoint a location and provide its coordinates, similar to the functionality in Navisworks , would greatly assist in various tasks and verifications that require precise data from the 3D model within the ACC.",https://forums.autodesk.com/t5/acc-ideas/measure-coordinate-xyz-in-3d-view/idi-p/13004651,2024-09-06T03:49:31.706-07:00,postrovsky,11739759,276,4692,15,needs_info,Implemented,13004651
10810682,ACC (Autodesk Docs) - Markups need improving,"The markups in Autodesk Docs are terrible. BIM 360 Docs Markups are far superior. Put simply, we need BIM 360 Markups in Autodesk Docs. Autodesk Docs Markups: Require more clicks to do the same thing; the UI is not as good as BIM 360. Currently creates individual 'markups' for each drawing element. BIM 360 does this so much better by allowing multiple drawing elements to be added (grouped) into a single 'markup', for easier tracking. For the previous reason, the new Markups Panel (found on the l",https://forums.autodesk.com/t5/acc-ideas/acc-autodesk-docs-markups-need-improving/idi-p/10810682,2021-12-08T19:50:59.688-08:00,Chad-Smith,528281,246,14012,77,delivered,Future Consideration,10810682
12421150,Folder Permissions option to REMOVE Inherited Permissions,"I would like the ability to control permissions on sub folders outside of what is inherited. For example, I give everyone EDIT access at the Project Files level, but we have some folders deep inside the project we want to remove full access and only VIEW access. Currently we cannot do this.",https://forums.autodesk.com/t5/acc-ideas/folder-permissions-option-to-remove-inherited-permissions/idi-p/12421150,2023-12-05T07:46:19.086-08:00,EJMillerCNJZ5,10916269,175,1831,11,delivered,Future Consideration,12421150
12856978,Organize Photos into Folders,"To improve the functionality of Autodesk Build, photos should have a folder organization system. Currently, photos cannot be moved into folders or have folders created within them for proper sorting. Introducing this feature would greatly enhance the ability to group and organize files effectively.",https://forums.autodesk.com/t5/acc-ideas/organize-photos-into-folders/idi-p/12856978,2024-06-23T18:48:30.213-07:00,cha_javellana,7688887,131,1493,10,investigating,Accepted,12856978
12730621,"Automate the ""description"" field values in ACC Docs when uploading documents to streamline user workflow.","Upon document upload, automate the generation of a brief description based on file content or metadata. Users can quickly identify uploaded documents without manual input through filtering metadata by using the Attributes from the Search Function, saving time and effort. Example: My Native Revit Sheet is named ""FRA01_ENER_XX_01_SP_AR_0001-GroundFloorElectrical"" when uploading to ACC Docs using Enforced Naming Convention, the Sheet should be split according to the enforced Attributes FRA01, ENER,",https://forums.autodesk.com/t5/acc-ideas/automate-the-quot-description-quot-field-values-in-acc-docs-when/idi-p/12730621,2024-04-24T06:55:07.778-07:00,Alexandru-Stefan,15409019,119,4760,28,declined,Under Review,12730621
12403530,Naming Standard available in ACC Templates,Currently we are unable to apply naming standards to files/folders in an ACC template. Adding to the template will allow us to apply it once and have it carry over to all new projects.,https://forums.autodesk.com/t5/acc-ideas/naming-standard-available-in-acc-templates/idi-p/12403530,2023-11-27T10:11:34.027-08:00,EJMillerCNJZ5,10916269,108,1307,11,delivered,Future Consideration,12403530
13657716,Permission for Photos,"Hi ACC team, I’d like to suggest adding a permission feature for photos where visibility can be restricted to specific roles or groups—such as allowing only the management team to view certain images, while hiding them from subcontractors. This would help manage sensitive content more efficiently and ensure only relevant stakeholders have access. Thanks for considering this!",https://forums.autodesk.com/t5/acc-ideas/permission-for-photos/idi-p/13657716,2025-05-30T04:50:10.262-07:00,cstappas,16864912,100,1198,12,investigating,Accepted,13657716
12774956,Design Collaboration Publish Schedule,"Currently, only weekly publishing is supported. Please expand this option to include at least Daily schedule or custom scheduling multiple times a day of possible. We are trying to push out the latest Revit updates to ACC without the users having to perform this manually. Weekly is just not enough. Thank you",https://forums.autodesk.com/t5/acc-ideas/design-collaboration-publish-schedule/idi-p/12774956,2024-05-15T06:43:38.600-07:00,EJMillerCNJZ5,10916269,100,1518,5,delivered,Future Consideration,12774956
13701135,"Integrate Full Microsoft Office Online Experience in ACC (Word, Excel, PowerPoint)","Autodesk must fully integrate the latest Microsoft Office (Word, Excel, PowerPoint) functionality into Autodesk Construction Cloud (ACC) to streamline collaboration and eliminate outdated workflows. Key Features Needed: Create New Office Files Directly in ACC Users should be able to create Word, Excel, or PowerPoint files natively within ACC — without needing to upload or copy files through Desktop Connector or other workarounds. Native Microsoft Integration with Open Options Just like in ShareP",https://forums.autodesk.com/t5/acc-ideas/integrate-full-microsoft-office-online-experience-in-acc-word/idi-p/13701135,2025-06-27T05:54:50.100-07:00,tahir.mavricR8XEG,12210178,98,2015,16,declined,Under Review,13701135
13427256,Multiple section creation in the ACC viewer,"It would be helpful for userbility if several sections could be created simultaneously in the ACC viewer. This would make it easier to navigate in the model and thus increase the imagination. Furthermore, the area could also be cropped so that this area can be displayed.",https://forums.autodesk.com/t5/acc-ideas/multiple-section-creation-in-the-acc-viewer/idi-p/13427256,2025-04-15T07:22:56.819-07:00,GrimmKe,9651294,95,674,3,declined,Under Review,13427256
13084089,"ACC Markups tools, and ACC PDF Viewer - Improvements Required",There are a couple of issues with the Markup tools and the ACC PDF viewer. I would like to address these concerns in the hope that all of the tools get improved. Problem Statement ACC Markup tools The current set of Markup Tools leave much to be desired. The main issue around the use of the markup tools is that they are clunky and not intuitive . Users who are new to the ACC platform do not want to use them because similar tools from programs such as PDF xChange simply work better and are easier,https://forums.autodesk.com/t5/acc-ideas/acc-markups-tools-and-acc-pdf-viewer-improvements-required/idi-p/13084089,2024-10-14T13:33:40.061-07:00,vaughan.giles7AGEV,7714930,95,2738,11,declined,Under Review,13084089
12447918,Notifications on the web page instead of multiple emails,"Instead sending emails, have an option to see all notifications on web. Not like the current My Home with dashboards, but more like a list of up-to-date chronological messages that is relevant to the user.",https://forums.autodesk.com/t5/acc-ideas/notifications-on-the-web-page-instead-of-multiple-emails/idi-p/12447918,2023-12-18T03:58:29.248-08:00,chi.yan-tang,12797014,93,1129,8,declined,Under Review,12447918
13023059,Build - Photos bulk edit,"Editing, deleting, aplying tags is something that is only possible to do one by one in the Photos tab in Build. This can be very time consuming, there should be a way to edit the photos in bulk.",https://forums.autodesk.com/t5/acc-ideas/build-photos-bulk-edit/idi-p/13023059,2024-09-16T02:31:44.317-07:00,andr3sant0s,13058859,92,1429,15,delivered,Future Consideration,13023059
12608417,View all projects to which a user is assigned in Company ACC,In BIM 360 Admin portal we have the ability to see when selecting an individual user any project that person is assigned to in our portal and what their access level assigned is. We would like to have this same feature in ACC. We don't need to see every project that user is assigned to only the ones that are associated with our portal.,https://forums.autodesk.com/t5/acc-ideas/view-all-projects-to-which-a-user-is-assigned-in-company-acc/idi-p/12608417,2024-03-02T12:19:28.103-08:00,ksullivan,3228857,91,1464,7,needs_info,Implemented,12608417
12447900,Manual SYNC button in Desktop Connector App,"Currently, the syncronisation happens in the background with limited feedback. For a bulk upload of data, sometimes the upload seemed to have stalled. It would be nice to still have a manual sync button to force the synchronisation process.",https://forums.autodesk.com/t5/acc-ideas/manual-sync-button-in-desktop-connector-app/idi-p/12447900,2023-12-18T03:49:43.827-08:00,chi.yan-tang,12797014,88,857,4,declined,Under Review,12447900
12403536,Project List - Adding custom attributes to allow us to search/filter/organize projects better,"Please allow custom attributes for projects in ACC. This would help us with long projects names and enable us to use attributes like ""Client"" Project Type"" ""Location""",https://forums.autodesk.com/t5/acc-ideas/project-list-adding-custom-attributes-to-allow-us-to-search/idi-p/12403536,2023-11-27T10:14:20.400-08:00,EJMillerCNJZ5,10916269,84,891,6,investigating,Accepted,12403536
12746751,"Automated Reminder Email for Overdue items (RFI, Submittal, Issue)","We need an option to toggle on an automated (scheduled) email reminder for items in the different modules at different time frames. F For example, as a Document Controller, you need to automatically trigger an email to an Engineer when an RFI response or Submittal review is due within 5 days, another when it is due in 3 days, and then daily once it is overdue. Many users would benefit from an email to prompt them to take action. This is helpful in the interim until users are accustomed to workin",https://forums.autodesk.com/t5/acc-ideas/automated-reminder-email-for-overdue-items-rfi-submittal-issue/idi-p/12746751,2024-05-01T12:15:45.317-07:00,adeluceBZEAZ,12072224,72,1373,7,declined,Under Review,12746751
12563354,Allow adding of project logo image to an ACC project,"Very basic, but the ability to easily update the project image needs to be implemented. In lieu of another way to communicate to the whole team what the Revit year is (aside from file name), we use the project logo. The current workaround is ridiculous or doesn't work . https://www.autodesk.com/support/technical/article/caas/sfdcarticles/sfdcarticles/Cannot-add-a-project-image-to-an-ACC-project.html#:~:text=Click%20Projects.,an%20image%20for%20the%20logo .",https://forums.autodesk.com/t5/acc-ideas/allow-adding-of-project-logo-image-to-an-acc-project/idi-p/12563354,2024-02-15T15:12:33.604-08:00,W_Whit,3785497,69,8876,16,delivered,Future Consideration,12563354
12443293,Export overview of all granted permissions per folder,"It's very important for companies who don't always use the same template with the same folders and permissions, to have a clear overview of 'who has permission to what'. Now, you have to go to each folder to check the permission settins individually, if you have a lot of folders (named with numbers of similar names), it can get quite confusing. Like the file log export function, it should also have an export function showing all the permissions granted (per person, role or company) per folder in",https://forums.autodesk.com/t5/acc-ideas/export-overview-of-all-granted-permissions-per-folder/idi-p/12443293,2023-12-15T03:49:23.780-08:00,chi.yan-tang,12797014,68,1789,18,needs_info,Implemented,12443293
13832096,フォームの回答項目ごとに自由記入欄を設けてほしい（I would like a free entry field to be added for each response item in the form.）,"回答項目（YES/NOなど）を選択した際の根拠となる理由を記載できるように、それぞれに自由記入欄があることが望ましいです。 ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ It is desirable to have a free-form field for each answer item (e.g., YES/NO) so that you can write the reasons behind your choice.",https://forums.autodesk.com/t5/acc-ideas/fomuno-hui-da-xiang-mugotoni-zi-you-ji-ru-lanwo-sheketehoshii-i-would-like-a-free-entry-field-to-be/idi-p/13832096,2025-09-30T18:28:43.971-07:00,m00483409,18003296,66,235,1,declined,Under Review,13832096
